시추공명,상심도,하심도,N치,지층명,지층분류,경도,위도,표고
NH-1,0.0,18.0,19,토사,토사,204915.69,550988.44,13.44
NH-1,18.0,24.0,"15, 45",연암,리핑암,204915.69,550988.44,13.44
NH-2,0.0,15.6,81,토사,풍화암,204995.29,550968.49,12.38
NH-2,15.6,18.2,58,풍화암,풍화암,204995.29,550968.49,12.38
NH-2,18.2,23.0,72,경암,발파암,204995.29,550968.49,12.38
NH-3,0.0,17.5,41,토사,토사,205058.09,550980.43,13.63
NH-3,17.5,27.0,19,풍화암,풍화암,205058.09,550980.43,13.63
NH-3,27.0,30.0,,연암,리핑암,205058.09,550980.43,13.63
NH-4,0.0,13.7,10,토사,토사,204919.62,550869.63,10.83
NH-4,13.7,14.5,63,풍화암,풍화암,204919.62,550869.63,10.83
NH-4,14.5,17.0,,연암,리핑암,204919.62,550869.63,10.83
NH-4,17.0,22.0,,경암,발파암,204919.62,550869.63,10.83
NH-5,0.0,13.0,63,토사,풍화암,205049.08,550865.64,10.41
NH-5,13.0,14.0,48,풍화암,풍화암,205049.08,550865.64,10.41
NH-5,14.0,16.0,,경암,발파암,205049.08,550865.64,10.41
NH-5,16.0,22.0,,연암,리핑암,205049.08,550865.64,10.41
NH-6,0.0,17.4,38,토사,토사,204985.09,550812.52,13.02
NH-6,17.4,18.8,30,풍화암,풍화암,204985.09,550812.52,13.02
NH-6,18.8,23.0,65,연암,리핑암,204985.09,550812.52,13.02
NH-6,23.0,25.0,,경암,발파암,204985.09,550812.52,13.02
NH-7,0.0,17.0,20,토사,토사,204920.86,550771.62,12.9
NH-7,17.0,19.5,,풍화암,풍화암,204920.86,550771.62,12.9
NH-7,19.5,23.0,,연암,리핑암,204920.86,550771.62,12.9
NH-8,0.0,13.8,40,토사,토사,205049.62,550772.74,11.75
NH-8,13.8,16.4,79,풍화암,풍화암,205049.62,550772.74,11.75
NH-8,16.4,19.0,95,연암,리핑암,205049.62,550772.74,11.75
NH-8,19.0,25.0,,경암,발파암,205049.62,550772.74,11.75
NH-9,0.0,17.0,0,토사,토사,204986.99,550702.58,11.07
NH-9,17.0,18.5,31,풍화암,풍화암,204986.99,550702.58,11.07
NH-9,18.5,23.0,,연암,리핑암,204986.99,550702.58,11.07
NH-10,0.0,15.0,15,토사,토사,204923.29,550655.58,11.4
NH-10,15.0,16.8,74,풍화암,풍화암,204923.29,550655.58,11.4
NH-10,16.8,18.4,82,연암,리핑암,204923.29,550655.58,11.4
NH-10,18.4,22.0,,경암,발파암,204923.29,550655.58,11.4
NH-11,0.0,14.0,62,토사,풍화암,205041.65,550644.35,11.09
NH-11,14.0,14.7,56,풍화암,풍화암,205041.65,550644.35,11.09
NH-11,14.7,22.0,,경암,발파암,205041.65,550644.35,11.09
NH-12,0.0,16.5,13,토사,토사,204968.62,550603.99,11.32
NH-12,16.5,22.5,71,풍화암,풍화암,204968.62,550603.99,11.32
NH-12,22.5,23.5,,연암,리핑암,204968.62,550603.99,11.32
NH-12,23.5,25.5,,경암,발파암,204968.62,550603.99,11.32
NH-13,0.0,14.0,12,토사,토사,205048.78,550572.94,11.01
NH-13,14.0,14.5,48,풍화암,풍화암,205048.78,550572.94,11.01
NH-13,14.5,21.0,,연암,리핑암,205048.78,550572.94,11.01
NH-14,0.0,14.3,28,토사,토사,205110.83,550596.79,10.97
NH-14,14.3,19.0,,풍화암,풍화암,205110.83,550596.79,10.97
NH-14,19.0,22.0,,연암,리핑암,205110.83,550596.79,10.97
NH-15,0.0,12.7,17,토사,토사,205357.75,550595.9,10.19
NH-15,12.7,14.2,82,풍화암,풍화암,205357.75,550595.9,10.19
NH-15,14.2,16.0,,연암,리핑암,205357.75,550595.9,10.19
NH-15,16.0,22.0,,경암,발파암,205357.75,550595.9,10.19
NH-16,0.0,14.0,19,토사,토사,205150.53,550450.82,10.15
NH-16,14.0,15.0,46,풍화암,풍화암,205150.53,550450.82,10.15
NH-16,15.0,20.0,,연암,리핑암,205150.53,550450.82,10.15
NH-17,0.0,16.0,62,토사,풍화암,205184.75,550981.12,10.9
NH-17,16.0,17.0,51,풍화암,풍화암,205184.75,550981.12,10.9
NH-17,17.0,22.0,,경암,발파암,205184.75,550981.12,10.9
NH-18,0.0,11.0,31,토사,토사,205212.17,551098.7,11.25
NH-18,11.0,11.8,7/30,풍화암,풍화암,205212.17,551098.7,11.25
NH-18,11.8,14.0,"5/30, 3/30, 4/30, 4/30, 9/30, 13/30, 16/30, 27/30, 50/17, 50/4",연암,리핑암,205212.17,551098.7,11.25
NH-18,14.0,22.0,62,경암,발파암,205212.17,551098.7,11.25
NH-19,0.0,14.0,41,토사,토사,205224.29,551177.07,11.36
NH-19,14.0,17.0,93,풍화암,풍화암,205224.29,551177.07,11.36
NH-19,17.0,21.0,,경암,발파암,205224.29,551177.07,11.36
NH-20,0.0,12.5,79,토사,풍화암,205566.1,551186.61,10.2
NH-20,12.5,13.0,89,풍화암,풍화암,205566.1,551186.61,10.2
NH-20,13.0,22.0,,경암,발파암,205566.1,551186.61,10.2
NH-21,0.0,12.0,12,토사,토사,205729.81,551082.46,9.91
NH-21,12.0,21.6,"14/30, 15/30, 13/30, 12/30, 26/30, 31/30, 50/26, 50/10, 50/8, 50/7, 50/6, 50/5, 50/5, 50/4, 50/3, 50/3, 50/2",풍화암,풍화암,205729.81,551082.46,9.91
NH-21,21.6,27.0,"11, 70",연암,리핑암,205729.81,551082.46,9.91
NH-21,27.0,30.0,,경암,발파암,205729.81,551082.46,9.91
NH-22,0.0,14.0,73,토사,풍화암,205829.35,550814.65,9.81
NH-22,14.0,25.8,,풍화암,풍화암,205829.35,550814.65,9.81
NH-22,25.8,29.0,,경암,발파암,205829.35,550814.65,9.81
TP-1,0.0,2.0,2,토사,토사,204970.9,550838.6,12.26
TP-2,0.0,2.0,2,토사,토사,204939.29,550741.23,12.22
TP-3,0.0,2.0,,토사,토사,204998.39,550769.83,12.25
